premise	hypothesis	premise_atomic	hypothesis_atomic	label
Načelnik Upravne enote Novo mesto Jože Preskar nam je povedal, da se bo po zagotovilih investitorja, ministrstva za javno upravo, upravna enota selila v nove poslovne prostore konec oktobra prihodnje leto.	Naslednje leto jeseni se novomeška upravna enota premika v druge poslovne prostore, kar je tamkajšnjemu načelniku zatrdil vlagatelj (MJU RS).	PersonX se seli v New York City da bi se odpeljali do svojega novega doma v New Yorku.	PersonX gre naslednje leto spet skrb za sebe.	entailment
Debela sestra je rekla: »Ampak vseeno ne smete biti tukaj.«	Zajetnejša sestra je povedala, kar si misli o tem, da so tu.	sestra se pridruži klubu Vendar ne morete vstopiti.	kar gre v pisarno medicinske sestre povedati, kako se počutijo.	neutral
Končno sem stal že čisto blizu, roke sem si namenoma položil za hrbet, da sem se plašča lahko neopazno dotikal.	Na skrivaj sem se dotakniti plašča, vendar se nikakor nisem uspel postaviti dovolj blizu, da bi mi to uspelo.	PersonX je končno sedel da si odpočijejo noge	to zgrabi torbe predmet se premaknete dovolj blizu vrečk, da jih lahko dosežete.	contradiction
Pražene gobe lahko jemo same s kruhom, s pire krompirjem, kot prilogo k mesu in podobno.	Gobe, ki jih prepražimo, so med drugim odlične poleg kruha, krompirja in mesnatih jedi.	osebek vzame čebulo lahko narežemo na koščke in iz njih pripravimo omako z drugimi sestavinami.	PersonX je odličen kuhar delati kot kuhar	entailment
Koža bo po masaži z olji videti sveža in spočita.	Masaža z olji vam bo pomagala, da vaša koža ne bo več utrujena in stara.	PersonX se nadiha svežega zraka da se počutite sproščeno in osveženo.	koža pomaga predmet shujšati osebe, da bi bile bolj zdrave in srečne.	entailment
“Le to, da sta se srečala v Parizu.“	“Zgolj to, da je prišlo do srečanja v Parizu.“	osebek nikoli ni videla oditi v Pariz	osebek pravi, da ni nikoli videl oditi v Pariz	entailment
Tanja je dvignila glavo in ga pogledala s solznimi očmi.	Ko je izvedela za njegovo prevaro, so njene oči zalile solze; namenila mu je očitajoč pogled.	Tanja dvigne glavo očmi je pogledal v oči	oči pogleda prevaro naravnost v oči pojasniti prevaro, zakaj se je zmotila.	neutral
Pri nakupu gradiva se v lokalno bibliografsko bazo podatkov prenesejo podatki o naročilu, prejemu in plačilu gradiva.	Ob nabavi materiala je bibliografska baza podatkov bogatejša za nekaj informacij o naročilu, prevzetju ter plačilu materiala.	podatki prebere več knjig obiskati lokalno knjigarno in kupiti več knjig.	baza dobi izobrazbo informacij za nakup pisarniškega materiala in knjig.	entailment
Že zdaj se boste počutili bolje, če boste uspeli čim več spati in počivati.	Tudi če boste povečali količino svojega spanca in več počivali, ne boste kaj kmalu boljše volje.	PersonX se zdaj počuti veliko bolje počivati	osebek bolje spi	contradiction
Čas neposredno po koncu II. svetovne vojne pa je prinesel tudi tragične dogodke in velike zločine, kot so bili množični poboji poražencev.	Po letu 1945 se je ozračje v duhu miru in veselja nad koncem vojevanja spremenilo in naravnalo k odpuščanju in milejšim obravnavam poražene strani.	Čas umre imeti velik pogreb kasneje	ozračje sproščen in srečen	contradiction
Kljub temu pa tako opredeljeno vseživljenjsko učenje in izobraževanje ne obsega celotnega človekovega življenja.	Glede na tovrstno razlago lahko razumemo, da se vseživljenjsko učenje in izobraževanje ne odvija v vseh obdobjih življenja.	učenje zagotavlja predmet izobraževanje dobi nov pogled na življenje.	učenje zagotavlja obdobjih izobraževanje dobi nov pogled na življenje.	entailment
Več informacij o sejmu in sejemskih dejavnostih najdete na: http://www.pomurski-sejem.si/slo-megra/megra.htm	Več o bazarju in o posameznih bazarskih aktivnostih si lahko preberete na: http://www.pomurski-sejem.si/slo-megra/megra.htm	osebek povabi predmet na obisk za več informacij o dogodku	osebek prebere več knjig obiskati lokalno knjigarno in kupiti več knjig.	entailment
O uporabi sredstev iz prejšnjega odstavka vlada obvešča državni zbor.	Državni zbor je obveščen s strani oblasti, kako naj razpolaga s sredstvi iz slednjega paragrafa.	vlada pridobi za uporabo od vlade	zbor prejme se naučite, kako razpolagati z denarjem. od vlade	entailment
Rincewind je pomeril z nogo, da bi jo brcnil, in zgrešil.	Na odločilni tekmi je kljub svojemu trudu žogo precej zgrešil.	Rincewind je nogo zlomila nogo da se vrnete nazaj.	osebek se uvrsti v finale zelo dobro se je odrezala na vseh tekmovanjih, ki so vodila do finala.	neutral
»Kam greš, Aléxandre?« je vznemirjeno vprašala Roksana.	“Aléxandre, kam vendar pojdeš?“ je polna vznemirjenja vzkliknila Roksana.	Roksana kam greš?	Roksana kam greš?	neutral
»Nikakor ne, milostljiva,« se je strinjala gospa Harben.	Gospa Harben je plemkinji odločno pritrdila.	gospa ne sprejme odgovora predmet zadovoljni	Gospa je vljudno zavrnila sprejeti odločitev.	entailment
Po mnenju vlagatelja ni objektivnih razlogov za naročnikovo zahtevo po J2EE platformi.	Vlagatelj pravi, da so razlogi naročnika za zahtevo po J2EE platformi subjektivni.	razlogov ne najde nobenega imeti razlog, da nekaj iščete.	razlogi izpolnjuje zahteve stranke vprašati stranke, kaj potrebujejo.	entailment
Človeška ribica je s 25 do 30 cm največja jamska žival na svetu ter edini jamski vretenčar v Evropi.	Proteus ali človeška ribica je ena najmanjših živali na svetu, tako na površju kot tudi v jamskem svetu.	PersonX je osamljen človek sam	PersonX je osamljen človek nič	contradiction
Kdo bi vedel, kaj se bo še zgodilo in razvilo iz tega...	Jasno je, da smo s tem problemom zaključili.	kaj ve, da se lahko zgodi sklepati, kaj se bo zgodilo.	osebek vprašanje je rešeno.	contradiction
(2) Poveljnike in namestnike poveljnikov v mirnodobni sestavi, poveljnike in namestnike poveljnikov samostojnih bataljonov, njim enakih in višjih enot vojne sestave imenuje minister na predlog načelnika Generalštaba.	(2) Načelnik Generalštaba imenuje kandidate, minister pa izmed njih določi načelnike in njegove namestnike v času miru, načelnike ter namestnike načelnikov neodvisnih bataljonov ter enote vojne sestave, ki so enakovredni prej naštetim ali so njim nadrejeni.	minister ukaže predmet vojska obvestiti vojsko o svojem novem vodstvu.	minister tvori njih vojska nabor vojakov	entailment
Pri pripravi razstave so sodelovali številni strokovnjaki, kustosi, metalurgi, strojniki in drugi.	Za pripravo razstave je bilo potrebno znanje mnogih strokovnjakov, med drugim kustosov, strojnikov in metalurgov.	PersonX vzame veliko časa za dokončanje projekta	znanje biti dober umetnik	entailment
Ohranil sem mirno kri, čeprav se mi je gabil.	Ostal sem miren, kljub temu da se mi je gnusil.	osebek ohranijo mirno kri.	osebek delu Ne preneha, tudi ko sem utrujen.	entailment
Sladkorna bolezen tipa I, ki se imenuje tudi od insulina odvisna ali juvenilna (mladostniš ka) sladkorna bolezen, se lahko pojavi kadarkoli, navadno pa pred 30. letom starosti.	Za sladkorno bolezene prvega tipa je značilna pojavnost v srednjih letih, po tretjem desetletju življenja, za zdravljenje se največkrat uporablja inzulin v različnih oblikah in vrstah.	"PersonX je sto let prezgodaj bolezen morda nikoli ne bo prišla v ""svoj"" čas in bo morda v slabšem položaju ves čas svojega življenja."	inzulin je v tretjem razredu mladi	contradiction
Preden je odprl vrata stanovanja, je prisluhnil morebitnim glasovom.	V tišini je prisluškoval morebitnim zvokom, nato pa odprl vrata.	osebek sliši, da se vrata odprejo opazi, da nekdo vstopa v sobo.	osebek zasliši trkanje se oglasi, naj gre odpreti vrata.	entailment
»Pomembno je bilo, da sem govorila z njima.	Zdelo se ji je izjemnega pomena, da so imeli priložnost spregovoriti nekaj besed.	osebek je vedno imela se o tem pogovarjali z drugimi.	pomena meni, da je bila predmet neverjetno prikupna se z njimi pogovarjate.	entailment
Tedaj pa sem nenadoma z vrha cirkuškega šotora zaslišala klic: »Mila, prihajam!«	Iznenada sem slišala krik: »Že grem, Mila!« se je nekdo zadrl s šotora v cirkusu.	Mila sliši tovornjak s sladoledom skoči navzgor	nekdo ve, kaj se je zgodilo vesel sem, da je nekdo videl, kako je drugo vozilo zapeljalo na znak stop.	entailment
Če ste vzeli večji odmerek zdravila, kot bi smeli, se posvetujte z zdravnikom ali s farmacevtom.	Zdravilo je neškodljivo, tudi če se ga zaužije v večjih količinah kot so vam bile predpisane.	osebek upošteva nasvet zdravnika naredite, kot je rekel zdravnik	PersonX preveč boli jemati zdravila	contradiction
To ustavno sodišče v takšnih primerih ne zavrne predlagateljevega oziroma pobudnikovega zahtevka, pač pa ugotovi, da izpodbijana določba ni v neskladju z ustavo.	Predlagana zahteva v tovrstnih primerih s strani dotičnega ustavnega sodišča ni zavrnjena, podana pa je ugotovitev o ustavnosti določbe, ki se jo izpodbija.	določba dokaže, da se neskladju moti prijava pritožbe	ugotovitev vloži pritožbo se jih ne upošteva.	entailment
Program je na CD-ROM-u in je namenjen začetnikom za samostojno učenje.	Program, ki je naložen na zgoščenki, služi kot vodilo pri učenju vsem izpopolnjevalcem.	PersonX se uči računalniškega programiranja da se udeležite tečaja in se naučite osnov.	PersonX učencem zagotavlja priprava na naslednji učni načrt.	contradiction
Ko dobimo občutek za to, lahko razmislimo, kako ji pomagati iz stiske.	Za to, da najdemo način, kako ji pomagati rešiti težavo, je pomembno, da jo razumemo.	PersonX pomaga pri bolečinah da bi vedeli, kako mu pomagati.	osebek dobi razumevanje to da bi rešili njegovo težavo.	entailment
Ker Pooblaščenec v konkretnem primeru ne pozna zakonske podlage, ki bi zavarovalnici dovoljevala pridobivanje osebnih podatkov s pomočjo t.i. virusnega marketinga , bi lahko v poštev prišla obdelava osebnih podatkov na podlagi osebne privolitve posameznika.	Potrebujemo pisno dovoljenje posamezmika; primer je namreč tak, da Pooblaščenec ni seznanjen z določenimi zakoni, s pomočjo katerih je zavarovalnici omogočen dostop do njegovih informacij.	PersonX dobro ve, da za pridobivanje informacij.	Pooblaščenec da od uradnika pridobi dovoljenje.	entailment
Prav na dnu, preden je zapeljal v ravnino, ga je potegnilo s cestišča, levo kolo je zdrsnilo v jarek, avto pa se je nagnil na bok.	Zaradi neprilagojene hitrosti je čisto na koncu, preden je zavil na ravnino, zletel s ceste in povsem razbil avtomobil.	avto podpre avto bok zavijete levo.	osebek zapelje nemudoma zaustaviti avtomobil. na rob ceste	neutral
»O tem pa jaz ne bi rada govorila.«	Navdušuje se nad morebitno udeležbo v pogovoru o tej temi.	jaz ne reče ničesar ne želi govoriti	osebek sodeluje v razpravi zainteresirani	contradiction
Dajem vsa preostala poglavja, h katerim niso bili vloženi amandmaji, skupaj na glasovanje.	V glasovanje bodo vključena tudi vsa druga poglavja, katerim niso bili dodani amandmaji.	amandmaji izbriše vse glasuj za amandmaji, ki bo zapustila otok	amandmaji odgovori drugemu ne sprejemajo več vprašanj.	entailment
Voščim vam lahko noč v stoti oddaji Prvi in drugi z željo, da se spet srečamo v stoprvi ...in stodrugi...stotretji...	Želim vam mirno noč in upam, da se kmalu spet vidimo v oddaji Prvi in drugi, ki je danes stota po vrsti.	Prvi povabi se zahvaliti Prvi za čudovit večer. na zmenek	PersonX ima lepo noč naslednji dan imajo dober dan	entailment
»Toda ali se pogovarja s tabo?« je vrtal dalje dr. Jims.	Dr. Jimsa je nadvse zanimalo, ali med nama kdaj steče pogovor.	Jims ti pokaže se pogovarjati s teboj	Jimsa je vljudno vprašala da se še naprej pogovarjamo o stvareh.	entailment
Z otožnimi očki se je zazrl vame kot kakšen pretepen španjel.	Če sem bila jezna nanj, noben njegov pogled ni pomagal.	osebek je udarila s kladivom kot da je opravil nalogo.	pogled se nikoli ni pojavila nekomu jezno odreagirati.	neutral
Earliking je zelo zgodnja sorta izvrstne kakovosti; primerna je za gojenje na območjih s hladnejšim podnebjem.	Gojenje sorte earliking, zgodnje in izjemno kakovostne vrste, je priljubljeno predvsem v severnejših državah.	Earliking je veliko starejša je v nekaterih kulturah spoštovan.	Gojenje je veliko starejša je v nekaterih kulturah spoštovan.	neutral
(2) Začasno hranjeno carinsko blago se lahko hrani v skladu s prejšnjim odstavkom le v prostorih in pod pogoji, ki jih odobri carinski organ.	(2) Carinsko blago se lahko začasno hrani do dva dni (48 ur), če so za to primerni pogoji in je s tem seznanjen carinik.	organ odgovori skladu oseba se po odgovoru verjetno počuti srečno ali jezno, odvisno od vprašanja in odgovora.	pogoji vzame to dve uri dobro obveščeni	neutral
Za vse smeri potrebujemo izbor vrvnih zank, zatičev in friendov.	Ne glede na to, katero smer bomo izbrali, bomo morali imeti s seboj med drugim tudi vrvne zanke.	osebek tabori s prijatelji smeri za nakup šotora, spalne vreče in vse opreme za kampiranje.	osebek sledi poti drugim morajo iti tja, kamor gredo.	entailment
A ljudje so mi nenehno govorili, da se bom ujel v kalup.	Ves čas so mi govorili, da so vsa moja dela enaka in da bom začel postajati dolgočasen.	ljudje ljudem pove jim je bilo rečeno, naj utihnejo.	dela je vedno utrujena ves čas delati.	neutral
Jamati dodaja: Ta širokosrčna gospa, ta popolna mati, spoštovana, občudovana, ki zna odkrivati “v vsem nekaj svetega“, kakšna priča je to zanj!)	“Ta zelo priljubljena gospa in mati zanj ni dobra priča,“ doda Jamati.	Jamati ceniti mamo za vse, kar je naredila.	Jamati ni zelo dober kuhar žalosten zaradi tega	contradiction
